编号 糖度 重量  成熟度  籽的数量  水分含量  果皮厚度
1	10.5	5.2	8.0	12	92.5	1.2
2	11.3	6.1	9.0	8	90.2	1.5
3	9.8	4.8	7.5	15	88.0	1.0
4	12.1	7.0	8.5	10	93.0	1.3
5	10.0	5.5	8.0	14	89.5	1.1
6	11.0	6.8	7.8	7	91.0	1.6
7	10.4	5.7	8.3	11	94.0	1.4
8	12.5	7.2	9.2	6	90.5	1.2
9	11.2	5.9	8.1	13	92.2	1.3
10	9.5	4.5	6.5	16	87.0	1.0
11	10.8	5.3	8.4	9	91.5	1.7
12	12.0	6.5	8.8	5	89.0	1.5
13	10.2	5.1	7.7	11	92.1	1.2
14	11.4	6.4	8.6	8	90.0	1.4
15	9.9	4.9	6.8	15	88.5	1.0
16	10.6	5.4	8.2	14	93.5	1.1
17	12.2	7.1	9.1	7	91.0	1.6
18	10.1	5.6	7.9	12	89.2	1.3
19	11.6	6.2	8.7	10	90.8	1.5
20	9.7	4.7	6.6	17	87.5	1.0
21	10.3	5.0	8.1	9	91.8	1.2
22	11.1	6.0	8.9	8	90.3	1.4
23	10.7	5.8	8.5	13	94.1	1.3
24	12.4	7.3	9.3	6	90.9	1.2
25	11.7	6.9	8.2	5	92.0	1.6
26	10.9	5.5	8.0	14	89.4	1.1
27	12.3	7.4	9.5	7	93.1	1.5
28	10.0	5.2	7.4	12	90.2	1.3
29	11.5	6.6	8.6	8	92.4	1.7
30	10.4	5.1	8.1	11	89.8	1.4
31	11.8	6.3	9.0	10	90.7	1.2
32	10.6	5.6	7.9	15	88.9	1.1
33	12.6	7.5	9.1	6	91.9	1.5
34	10.2	5.3	8.5	9	94.2	1.4
35	11.9	6.7	8.4	7	90.5	1.2
36	10.5	5.4	7.5	13	92.0	1.6
37	12.8	7.8	9.4	5	89.7	1.7
38	10.0	5.0	8.0	11	91.4	1.3
39	11.2	6.0	8.7	9	93.6	1.4
40	10.4	5.6	7.3	14	88.4	1.2
41	11.1	6.4	9.1	8	90.9	1.3
42	10.9	5.8	8.2	12	91.5	1.6
43	12.0	7.1	9.2	6	92.3	1.5
44	10.7	5.3	8.4	10	90.1	1.1
45	11.3	6.5	8.9	7	93.9	1.4
46	10.2	5.7	7.8	13	89.8	1.2
47	12.4	7.3	9.5	5	90.8	1.6
48	10.3	5.2	8.0	11	94.0	1.3
49	11.6	6.0	8.3	9	92.5	1.5
50	10.8	5.5	8.2	14	88.7	1.1
